prov_code,dc_code,name,age_0_to_4_2011,age_5_to_14_2011,age_15_to_34_2011,age_35_to_59_2011,age_60_plus_2011,age_0_to_4_2022,age_5_to_14_2022,age_15_to_34_2022,age_35_to_59_2022,age_60_plus_2022
EC,BUF,Buffalo City,80701,126829,281586,222603,70134,78254,163620,320091,297094,116189
EC,DC10,Sarah Baartman,45969,76633,153131,128622,46229,40631,86018,163960,162523,80081
EC,DC12,Amathole,99523,186816,269671,192985,105971,83837,171254,260474,223380,132643
EC,DC13,Chris Hani,95974,181313,251786,183824,93582,82249,165024,249589,213128,118381
EC,DC14,Joe Gqabi,40832,78012,116562,75585,37682,41716,77412,124081,99609,50220
EC,DC15,O.R.Tambo,182071,350845,480333,244646,108145,189224,337912,515700,321606,137205
EC,DC44,Alfred Nzo,111741,215963,264442,139172,70027,119878,215511,319001,190573,91486
EC,NMA,Nelson Mandela Bay,110406,183864,410270,341120,106455,85807,179478,386277,378153,160760
FS,DC16,Xhariep,13426,23650,42033,31341,11496,12086,24885,43230,36569,15128
FS,DC18,Lejweleputswa,68099,112370,224174,171537,48566,62563,124467,227240,195396,70073
FS,DC19,Thabo Mofutsanyane,84177,150210,264090,176138,61064,77684,154592,281476,232231,85420
FS,DC20,Fezile Dabi,51617,85543,174673,131356,44847,43006,87123,164157,153820,61802
FS,MAN,Mangaung,78576,131246,297816,204729,62816,67769,135803,285146,239555,83150
GP,DC42,Sedibeng,89564,142847,345678,263568,74826,99594,186362,412352,371878,120467
GP,DC48,West Rand,78305,119858,317539,252762,52726,87339,148917,363429,313155,85524
GP,EKU,Ekurhuleni,316977,455486,1293711,907729,204567,340310,559452,1532927,1306280,327642
GP,JHB,City of Johannesburg,432706,596079,1862299,1252477,291071,415628,637738,1829535,1542990,377218
GP,TSH,City of Tshwane,273866,403243,1185603,839684,219091,348483,580221,1451533,1285588,374135
KZN,DC21,Ugu,83709,144928,246218,147411,66786,74545,151139,255207,199585,92908
KZN,DC22,Umgungundlovu,103284,183409,395343,249027,83509,101666,200806,437580,366174,129443
KZN,DC23,Uthukela,89488,156454,238219,134931,48979,82059,158963,273575,203264,71212
KZN,DC24,Umzinyathi,73277,133139,173971,93770,39871,77466,147842,218637,148203,56937
KZN,DC25,Amajuba,58743,109898,186932,108356,36686,67315,131046,251441,175928,61669
KZN,DC26,Zululand,112324,205384,288214,142666,54988,113388,210000,325417,215315,78663
KZN,DC27,Umkhanyakude,90186,161744,226409,107979,39527,88647,159058,257759,176762,56169
KZN,DC28,King Cetshwayo,114234,201367,348467,181149,62303,105745,199895,358399,270170,87120
KZN,DC29,iLembe,77018,127807,228396,127255,46333,78043,148366,272426,210724,73091
KZN,DC43,Harry Gwala,63438,111290,161818,89629,34351,63157,125719,191060,132517,51433
KZN,ETH,eThekwini,332434,545964,1438094,894150,266044,300276,589080,1549752,1364257,436485
LP,DC33,Mopani,138761,230755,402713,233365,86914,167865,287883,434142,351797,131127
LP,DC34,Vhembe,163902,287691,470005,264442,108683,192224,341746,545497,411726,161801
LP,DC35,Capricorn,154877,268424,453187,269044,115931,155188,282206,477586,372780,159306
LP,DC36,Waterberg,78220,124721,256517,163500,56378,78571,134415,258249,207823,83746
LP,DC47,Sekhukhune,144404,243258,378205,211515,99458,159280,279890,428333,333575,135691
MP,DC30,Gert Sibande,118795,210631,390435,251231,72102,128850,221440,474699,352860,105578
MP,DC31,Nkangala,140505,232283,493792,340683,100866,156311,268123,557664,458314,148310
MP,DC32,Ehlanzeni,202259,356206,658250,360713,111188,257432,428044,814308,606101,164972
NC,DC45,John Taolo Gaetsewe,27691,48634,78858,53153,16462,29768,55845,93488,69092,24249
NC,DC6,Namakwa,9746,20135,35812,36343,13806,11520,22828,45251,47471,21862
NC,DC7,Pixley ka Seme,20198,38654,60330,49864,17306,20952,40903,72176,60140,22408
NC,DC8,Z F Mgcawu,23304,44008,87572,63277,18623,25694,50246,97593,83686,26400
NC,DC9,Frances Baard,40979,72024,136106,100782,32195,41323,78255,145174,125225,44315
NW,DC37,Bojanala,166076,232277,577260,413332,118561,156176,271462,553597,492360,150574
NW,DC38,Ngaka Modiri Molema,103088,177485,285363,204092,72671,103334,183556,317142,241247,92428
NW,DC39,Dr Ruth Segomotsi Mompati,60194,102935,150026,107475,43185,61391,104605,166548,124466,51173
NW,DC40,Dr Kenneth Kaunda,74990,123319,246620,193029,57975,70416,126091,245510,217439,74733
WC,CPT,City of Cape Town,370296,558035,1414221,1080174,317304,378524,692269,1668950,1547022,485588
WC,DC1,West Coast,36668,63056,136547,119418,36077,41897,74655,168385,156839,55608
WC,DC2,Cape Winelands,74012,129461,289622,231396,62995,67962,124440,304852,275439,89885
WC,DC3,Overberg,22803,39328,87577,76957,31510,27363,45780,119945,113357,52975
WC,DC4,Garden Route,53344,95120,187939,171683,66180,64010,121769,266976,261901,123775
WC,DC5,Central Karoo,7678,14005,21914,20695,6719,9099,19071,33599,29837,10566
