prov_code,dc_code,muni_code,name,age_0_to_4_2011,age_5_to_14_2011,age_15_to_34_2011,age_35_to_59_2011,age_60_plus_2011,age_0_to_4_2022,age_5_to_14_2022,age_15_to_34_2022,age_35_to_59_2022,age_60_plus_2022
WC,CPT,CPT,City of Cape Town,370296,558035,1414221,1080174,317304,378524,692269,1668950,1547022,485588
WC,DC1,WC011,Matzikama,6535,11467,22627,20242,6276,6332,11108,23017,21328,7258
WC,DC1,WC012,Cederberg,4549,8178,16975,15379,4687,4857,7418,20534,16934,5363
WC,DC1,WC013,Bergrivier,5445,9986,20589,19412,6465,5380,10299,22517,22880,9196
WC,DC1,WC014,Saldanha Bay,9778,15311,36264,29656,8184,13129,23321,52558,48281,17342
WC,DC1,WC015,Swartland,10361,18114,40093,34729,10465,12200,22509,49758,47415,16448
WC,DC2,WC022,Witzenberg,10308,19151,44165,34563,7758,8384,14852,37778,33151,9497
WC,DC2,WC023,Drakenstein,23783,40510,89458,76946,20566,21133,40792,92244,91486,31141
WC,DC2,WC024,Stellenbosch,13428,22114,65911,42354,11920,13267,22879,67850,54438,16971
WC,DC2,WC025,Breede Valley,16705,29714,57935,48629,13843,17550,32277,75428,66424,20992
WC,DC2,WC026,Langeberg,9787,17973,32154,28903,8908,7628,13640,31551,29941,11285
WC,DC3,WC031,Theewaterskloof,10022,17719,38956,33207,8959,11494,18842,51770,43955,13493
WC,DC3,WC032,Overstrand,6759,10498,26757,22081,14262,9399,15283,40103,41083,26619
WC,DC3,WC033,Cape Agulhas,2691,5050,10334,10589,4375,2923,4933,12259,13192,6966
WC,DC3,WC034,Swellendam,3331,6061,11531,11080,3913,3547,6722,15814,15126,5897
WC,DC4,WC041,Kannaland,2452,4666,7487,7308,2855,2977,5272,10163,9370,4204
WC,DC4,WC042,Hessequa,4351,8475,14852,16649,8315,5255,10114,21138,22761,12645
WC,DC4,WC043,Mossel Bay,7577,13107,28789,27035,12922,8379,16736,40292,44592,30072
WC,DC4,WC044,George,18423,32530,65561,58108,19050,23626,43910,99465,92099,35824
WC,DC4,WC045,Oudtshoorn,9353,18132,30549,27722,10178,11814,22966,45321,41435,16715
WC,DC4,WC047,Bitou,4641,7745,17481,14744,4551,5189,9487,21071,21503,7990
WC,DC4,WC048,Knysna,6548,10466,23220,20117,8308,6771,13283,29527,30140,16324
WC,DC5,WC051,Laingsburg,806,1391,2470,2694,929,912,1885,3730,3537,1302
WC,DC5,WC052,Prince Albert,1308,2578,4167,3823,1261,2040,3104,5771,5136,1784
WC,DC5,WC053,Beaufort West,5564,10036,15277,14178,4530,6146,14083,24098,21164,7480
EC,BUF,BUF,Buffalo City,80701,126829,281586,222603,70134,78254,163620,320091,297094,116189
