prov_code,dc_code,name,miif_category,government_transfers_subsidies_percent,households_2011,avg_household_size_2011,households_2022,avg_household_size_2022,formal_dwelling_2011,traditional_dwelling_2011,informal_dwelling_2011,other_dwelling_2011,formal_dwelling_2022,traditional_dwelling_2022,informal_dwelling_2022,other_dwelling_2022,water_scheme_2011,other_water_2011,water_scheme_2022,other_water_2022,flush_toilet_2011,other_toilet_2011,no_toilet_2011,flush_toilet_2022,other_toilet_2022,no_toilet_2022,electricity_cooking_2011,gas_cooking_2011,other_cooking_2011,electricity_cooking_2022,gas_cooking_2022,other_cooking_2022
EC,BUF,Buffalo City,METRO,19.4,230764,3.4,268438,3.6,165952,12056,51113,1643,229710,7942,30160,627,209923,20841,247178,21260,159440,56116,15208,216678,49623,2137,171497,8530,50243,176849,76992,14080
EC,DC10,Sarah Baartman,C1,87.8,125628,3.6,158404,3.4,107657,2750,13914,1306,144062,1523,12426,394,104009,21619,137697,20707,92519,27076,6033,138849,16719,2837,101188,6082,18015,106128,45890,6004
EC,DC12,Amathole,C2,71.7,227572,3.8,241612,3.6,119969,94460,11575,1569,195938,39419,4892,1362,112847,114725,120677,120935,41177,147752,38643,96884,141878,2851,125993,6718,94306,161798,60270,19197
EC,DC13,Chris Hani,C2,72.5,213842,3.8,226446,3.7,131541,76533,4412,1357,194145,29190,2589,522,124622,89220,155172,71273,69903,93439,50500,129463,84786,12197,132496,7135,73692,158650,56032,11231
EC,DC14,Joe Gqabi,C2,73.3,97471,3.6,124294,3.2,58902,33739,4148,682,107072,13236,3594,393,52523,44948,80732,43562,26186,54561,16724,67124,52917,4254,55124,5029,37157,74104,40120,9836
EC,DC15,O.R.Tambo,C2,80.7,298530,4.6,313536,4.8,129639,162020,4359,2512,241960,67434,2676,1466,85039,213491,119301,194235,34648,207390,56493,97846,198242,17448,134808,12373,150500,178665,78290,55985
EC,DC44,Alfred Nzo,C2,94.7,169258,4.7,198300,4.7,69462,93611,2008,4177,140236,55483,1538,1043,47915,121343,73758,124541,11251,133382,24625,45073,142231,10995,48022,12054,108743,102759,46410,48765
EC,NMA,Nelson Mandela Bay,METRO,14.8,324279,3.6,307931,3.9,282618,1112,38859,1690,283398,1202,22793,538,313300,10979,296999,10932,289768,28296,6215,288048,16875,3008,278560,10559,34441,236853,60871,9695
FS,DC16,Xhariep,C1,91.6,37678,3.2,36064,3.7,33001,147,4347,182,32814,122,2939,189,29936,7742,30798,5266,29697,5617,2364,32147,2881,1036,31595,1365,4610,28570,5476,1912
FS,DC18,Lejweleputswa,C1,96.5,182247,3.4,189807,3.6,144220,754,35155,2119,167356,746,20608,1097,165960,16287,176502,13304,140891,35471,5886,163578,23166,3062,158687,3521,19698,148268,33122,8079
FS,DC19,Thabo Mofutsanyane,C1,84.9,217689,3.4,244415,3.4,168216,14839,33244,1390,211287,6660,25082,1386,188630,29059,215812,28603,112941,98232,6516,156661,84034,3721,169525,8189,39564,191581,36675,15743
FS,DC20,Fezile Dabi,C1,96.7,144971,3.4,145539,3.5,120700,717,22254,1300,130089,815,13790,845,131154,13816,134974,10565,115940,26603,2429,129358,14975,1205,123670,5299,15705,108474,30750,6081
FS,MAN,Mangaung,METRO,24.5,240700,3.2,229426,3.5,201598,3084,33986,2034,206758,2155,19274,1239,226436,14264,218436,10990,152796,79371,8534,162953,61012,5462,212087,5522,22681,187074,32639,9333
GP,DC42,Sedibeng,C1,74.8,279756,3.3,376971,3.2,237269,923,39924,1640,342959,1273,32078,660,261074,18682,360971,16000,247729,28828,3199,359389,15988,1594,243521,9441,26383,254873,106162,15548
GP,DC48,West Rand,C1,93.6,267460,3.1,356530,2.8,194442,758,67738,4521,314027,1041,40705,757,238188,29272,336726,19803,215835,47119,4506,323502,31292,1736,207852,8173,50853,220097,122892,13178
GP,EKU,Ekurhuleni,METRO,18.9,1015398,3.1,1421003,2.9,786195,2498,218259,8446,1253299,4340,158756,4608,972656,42741,1371871,49132,875905,127687,11806,1296077,119463,5463,805735,25931,182273,930276,402400,87338
