prov_code,dc_code,muni_code,name,miif_category,government_transfers_subsidies_percent,households_2011,avg_household_size_2011,households_2022,avg_household_size_2022,formal_dwelling_2011,traditional_dwelling_2011,informal_dwelling_2011,other_dwelling_2011,formal_dwelling_2022,traditional_dwelling_2022,informal_dwelling_2022,other_dwelling_2022,water_scheme_2011,other_water_2011,water_scheme_2022,other_water_2022,flush_toilet_2011,other_toilet_2011,no_toilet_2011,flush_toilet_2022,other_toilet_2022,no_toilet_2022,electricity_cooking_2011,gas_cooking_2011,other_cooking_2011,electricity_cooking_2022,gas_cooking_2022,other_cooking_2022
EC,BUF,BUF,Buffalo City,METRO,19.4,230764,3.4,268438,3.6,165952,12056,51113,1643,229710,7942,30160,627,209923,20841,247178,21260,159440,56116,15208,216678,49623,2137,171497,8530,50243,176849,76992,14080
EC,DC10,EC101,Dr Beyers Naude,B3,37.8,19922,4,23318,4.3,18994,86,728,113,22668,65,563,22,15836,4086,21061,2257,17358,1527,1037,22398,595,324,16762,629,2477,18329,4330,593
EC,DC10,EC102,Blue Crane Route,B3,34.9,9761,3.7,16117,3.1,9356,64,286,54,15660,52,394,10,7830,1930,12743,3374,8252,891,617,14056,1381,679,8025,235,1470,11708,3283,1098
EC,DC10,EC104,Makana,B2,31.3,21388,3.8,29239,3.3,18269,780,2153,186,26206,338,2574,120,18871,2517,26863,2376,15917,4634,837,26223,2549,467,17245,1512,2597,19459,8793,948
EC,DC10,EC105,Ndlambe,B3,38.2,19330,3.2,32440,2.7,16153,727,2185,265,29493,273,2593,80,16093,3237,27814,4625,11697,7062,570,27591,4583,265,14969,1576,2737,17103,13757,1492
EC,DC10,EC106,Sundays River Valley,B3,54.9,14749,3.7,19017,2.8,12473,734,1412,130,16702,511,1772,32,11316,3432,15060,3957,8662,5120,967,15503,3046,468,10846,421,3431,13164,4844,950
EC,DC10,EC108,Kouga,B3,21.2,29447,3.3,28681,3.7,22414,325,6321,388,24301,236,4070,74,26919,2528,26088,2593,22315,5764,1367,24302,3832,547,24172,1403,3792,18837,9040,733
EC,DC10,EC109,Kou-Kamma,B3,50.2,11032,3.7,9593,3.8,9998,34,830,170,9031,47,460,55,7143,3889,8069,1525,8318,2077,638,8776,731,87,9169,306,1511,7528,1844,189
EC,DC12,EC121,Mbhashe,B4,88.8,61893,4.2,52715,4.6,18921,41096,1547,328,36476,15734,268,237,10613,51279,15272,37443,2745,31623,27525,13944,38114,657,22394,1987,37380,31467,14141,7034
EC,DC12,EC122,Mnquma,B4,75.4,67962,3.6,65221,3.6,33365,28524,5493,580,51526,12249,782,664,29035,38927,23776,41444,10235,52936,4792,22244,42406,571,31490,2223,34125,43375,16355,5389
EC,DC12,EC123,Great Kei,B3,51.6,8073,3.8,12095,3,5533,1317,1141,82,10335,599,1099,62,5360,2712,6616,5479,3580,2505,1988,6091,5699,305,5099,485,2477,6874,4237,967
EC,DC12,EC124,Amahlathi,B3,62,28357,3.6,33621,3.4,17447,9571,1081,258,28344,4145,986,147,21985,6373,25051,8571,7502,19471,1384,15592,17516,514,20421,590,7256,23323,7942,2309
EC,DC12,EC126,Ngqushwa,B4,76.6,19222,3.4,24913,2.7,13755,4223,1160,85,22268,2143,420,83,12699,6523,13339,11574,1192,17175,856,7137,17442,335,13756,477,4932,17171,6461,1252
EC,DC12,EC129,Raymond Mhlaba,B3,51.6,42065,3.6,53047,3.4,30948,9729,1152,236,46990,4549,1339,170,33154,8910,36622,16425,15923,24042,2099,31877,20701,469,32833,957,8137,39586,11133,2245
EC,DC13,EC131,Inxuba Yethemba,B3,26,18463,3.6,22994,3.4,17902,67,381,113,22712,92,165,25,14024,4439,20659,2335,16629,909,926,21907,584,503,16658,491,1256,17672,4901,389
EC,DC13,EC135,Intsika Yethu,B4,90.4,41790,3.6,32227,4,14086,27049,426,230,20420,11633,98,77,16324,25467,13595,18632,1298,24886,15607,10279,19844,2103,18710,1907,21088,19785,10333,2072
EC,DC13,EC136,Emalahleni,B4,77.4,32005,3.8,32771,3.9,17855,13887,157,106,27344,5224,146,58,18139,13866,21740,11031,4191,17650,10163,12645,16066,4060,19400,1022,11524,22744,8037,1833
EC,DC13,EC137,Engcobo,B4,92.2,37214,4.2,24307,5.5,11436,24687,641,450,16300,7784,157,66,10230,26984,8616,15692,1730,19280,16204,6964,14882,2461,13268,1633,22222,14614,7006,2565
EC,DC13,EC138,Sakhisizwe,B3,74.7,16016,3.9,17355,3.7,10335,4753,786,142,14441,2513,361,40,9932,6083,12906,4450,3786,9694,2535,7801,8508,1046,9482,529,5963,11810,4585,924
EC,DC13,EC139,Enoch Mgijima,B2,29.9,68354,3.7,96791,3.1,59927,6091,2021,315,92928,1945,1662,256,55974,12381,77657,19135,42270,21019,5065,69866,24901,2024,54979,1552,11639,72024,21169,3449
EC,DC14,EC141,Elundini,B4,72,37551,3.6,41210,3.4,12450,24534,348,218,31529,8850,733,97,11151,26400,22447,18763,4255,24667,8629,16702,23081,1427,13191,3025,21262,19822,15431,5882
EC,DC14,EC142,Senqu,B4,67,38046,3.5,48914,3,26717,9067,1919,343,43301,3946,1415,252,22649,15397,28320,20594,5186,26936,5924,19761,27441,1713,24499,1255,12233,32669,13995,2153
EC,DC14,EC145,Walter Sisulu,B3,27.7,21874,3.5,34171,3,19735,138,1880,121,32242,440,1445,43,18723,3151,29965,4205,16745,2958,2171,30662,2395,1114,17434,748,3662,21612,10694,1801
EC,DC15,EC153,Ngquza Hill,B4,87.2,56212,5,64051,5.5,22750,32580,540,342,49044,13462,1136,410,8491,47721,12733,51319,1843,46269,8100,11458,49123,3470,20322,2030,33736,34493,11520,17943
EC,DC15,EC154,Port St Johns,B4,89.8,31713,4.9,30643,5.9,7817,23475,319,102,20225,9876,422,120,6232,25481,7641,23002,967,22415,8330,5947,22970,1727,9885,947,20770,13502,5818,11237
EC,DC15,EC155,Nyandeni,B4,88.2,61647,4.7,60281,5.1,20818,39815,397,617,44041,15664,431,144,15149,46498,16614,43667,1338,43612,16696,14287,42030,3964,24669,1934,34890,32305,15231,12610
EC,DC15,EC156,Mhlontlo,B4,85.9,44079,4.3,43980,4.2,15128,27637,1018,296,31721,11873,152,235,12721,31359,14173,29807,1830,32655,9594,11620,29163,3198,19620,2201,22133,26481,12034,5388
EC,DC15,EC157,King Sabata Dalindyebo,B2,33.6,104878,4.3,114580,4.2,63125,38513,2085,1155,96929,16559,535,557,42446,62432,68140,46440,28669,62437,13772,54534,54956,5091,60313,5260,38971,71884,33687,8807
EC,DC44,EC441,Matatiele,B3,74.2,49527,4.1,55757,4,24594,21410,697,2826,42281,12892,401,183,24115,25412,25678,30079,5879,37461,6187,15656,37746,2356,15823,3755,29848,29475,14845,11346
EC,DC44,EC442,Umzimvubu,B4,82.8,46931,4.1,51698,4.1,17681,27940,721,589,38000,13329,187,183,14389,32542,21682,30016,3195,38599,5137,13808,35443,2447,13947,4256,28583,29047,13915,8633
EC,DC44,EC443,Winnie Madikizela-Mandela,B4,80.1,48446,5.8,62479,5.6,21173,26216,476,581,44007,17171,714,587,3401,45045,17598,44881,1062,40529,6855,10058,48550,3871,14978,2465,30862,30673,11519,20176
EC,DC44,EC444,Ntabankulu,B4,88,24355,5.1,28365,5.2,6014,18045,115,181,15948,12092,236,89,6010,18345,8800,19565,1116,16793,6446,5552,20492,2321,3273,1578,19449,13564,6131,8610
EC,NMA,NMA,Nelson Mandela Bay,METRO,14.8,324279,3.6,307931,3.9,282618,1112,38859,1690,283398,1202,22793,538,313300,10979,296999,10932,289768,28296,6215,288048,16875,3008,278560,10559,34441,236853,60871,9695
FS,DC16,FS161,Letsemeng,B3,49.1,11242,3.4,10940,3.9,9358,17,1812,55,9279,33,1586,43,8992,2250,8961,1979,8492,2183,567,9031,1453,456,9896,293,1021,8739,1336,827
FS,DC16,FS162,Kopanong,B3,47.9,15643,3.1,14578,3.6,14293,57,1213,80,13797,50,663,68,12475,3168,12999,1579,13374,1288,981,13989,245,344,13493,522,1580,11808,2382,352
FS,DC16,FS163,Mohokare,B3,51,10793,3.2,10546,3.5,9350,74,1322,47,9739,39,689,78,8468,2324,8837,1708,7831,2146,816,9128,1183,235,8205,551,2009,8023,1759,733
FS,DC18,FS181,Masilonyana,B3,39.8,16476,3.6,17853,3.6,13614,79,2655,128,16246,84,1316,207,14587,1890,15289,2564,12365,3579,532,16162,1486,205,14555,331,1567,14010,2839,960
