prov_code,dc_code,name,area_km2,miif_category,government_transfers_subsidies_percent,male_pop_2011,female_pop_2011,total_pop_2011,school_attendance_ages_5_to_24_2011,sex_ratio_2011,male_pop_2022,female_pop_2022,total_pop_2022,school_attendance_ages_5_to_24_2022,sex_ratio_2022,growth_rate_2011_to_2022
EC,BUF,Buffalo City,2752.6,METRO,19.4,371242,410610,781853,195367,90.4,461693,513562,975255,233425,89.9,2.1
EC,DC10,Sarah Baartman,58245.3,C1,87.8,220246,230338,450584,96669,95.6,253673,279580,533253,110549,90.7,1.6
EC,DC12,Amathole,21114.9,C2,71.7,401350,453617,854967,275531,88.5,415004,456598,871601,237809,90.9,0.2
EC,DC13,Chris Hani,36406.8,C2,72.5,381850,424628,806478,259857,89.9,396638,431750,828387,224623,91.9,0.3
EC,DC14,Joe Gqabi,25617.1,C2,73.3,164922,183750,348673,114481,89.8,186571,206477,393048,108636,90.4,1.2
EC,DC15,O.R.Tambo,12141.2,C2,80.7,630608,735431,1366039,520329,85.7,707798,793904,1501702,478346,89.2,0.9
EC,DC44,Alfred Nzo,10731.2,C2,94.7,366488,434857,801344,308115,84.3,439455,497006,936462,308763,88.4,1.5
EC,NMA,Nelson Mandela Bay,1957,METRO,14.8,552994,599121,1152115,269961,92.3,563211,627285,1190496,255462,89.8,0.3
FS,DC16,Xhariep,34249.7,C1,91.6,60249,61695,121945,31103,97.7,63244,68657,131901,32587,92.1,0.8
FS,DC18,Lejweleputswa,32287,C1,96.5,308191,316555,624746,158066,97.4,326177,353569,679746,175713,92.3,0.8
FS,DC19,Thabo Mofutsanyane,32728.9,C1,84.9,342877,392802,735679,218696,87.3,387852,443569,831421,223777,87.4,1.2
FS,DC20,Fezile Dabi,20673.3,C1,96.7,242342,245694,488036,121309,98.6,244738,265174,509912,123954,92.3,0.4
FS,MAN,Mangaung,9886.3,METRO,24.5,375308,399876,775184,206827,93.9,385812,425620,811431,203457,90.6,0.4
GP,DC42,Sedibeng,4172.7,C1,74.8,455358,461126,916484,221411,98.7,590983,599705,1190688,264039,98.5,2.5
GP,DC48,West Rand,4089.4,C1,93.6,428290,392901,821191,170945,109,505187,493279,998466,208066,102.4,1.9
GP,EKU,Ekurhuleni,1975.7,METRO,18.9,1627724,1550747,3178470,672503,105,2077352,1989339,4066691,778437,104.4,2.4
GP,JHB,City of Johannesburg,1642.6,METRO,19.3,2225021,2209609,4434631,893838,100.7,2419151,2384111,4803262,871485,101.5,0.8
