prov_code,dc_code,muni_code,name,area_km2,miif_category,government_transfers_subsidies_percent,male_pop_2011,female_pop_2011,total_pop_2011,school_attendance_ages_5_to_24_2011,sex_ratio_2011,male_pop_2022,female_pop_2022,total_pop_2022,school_attendance_ages_5_to_24_2022,sex_ratio_2022,growth_rate_2011_to_2022
EC,BUF,BUF,Buffalo City,2752.6,METRO,19.4,371242,410610,781853,195367,90.4,461693,513562,975255,233425,89.9,2.1
EC,DC10,EC101,Dr Beyers Naude,28653,B3,37.8,38599,40693,79292,18657,94.9,47720,53281,101001,22689,89.6,2.3
EC,DC10,EC102,Blue Crane Route,11068.5,B3,34.9,17680,18322,36002,8036,96.5,24191,25691,49883,10653,94.2,3.2
EC,DC10,EC104,Makana,4376.4,B2,31.3,38175,42215,80390,18517,90.4,45885,51930,97815,22021,88.4,1.9
EC,DC10,EC105,Ndlambe,1839.9,B3,38.2,29035,32141,61176,12731,90.3,41327,46470,87797,17031,88.9,3.5
EC,DC10,EC106,Sundays River Valley,5995.2,B3,54.9,27761,26743,54504,10896,103.8,26157,27099,53256,10148,96.5,-0.2
EC,DC10,EC108,Kouga,2670.5,B3,21.2,48591,49967,98558,19575,97.2,50690,56325,107014,19821,90,0.8
EC,DC10,EC109,Kou-Kamma,3641.8,B3,50.2,20405,20258,40663,8257,100.7,17703,18784,36487,8186,94.2,-1.1
EC,DC12,EC121,Mbhashe,3302.5,B4,88.8,120231,141439,261670,98542,85,111137,128883,240020,74458,86.2,-0.8
EC,DC12,EC122,Mnquma,3137.3,B4,75.4,114871,130758,245629,84329,87.9,111374,121619,232993,63221,91.6,-0.5
EC,DC12,EC123,Great Kei,1699.8,B3,51.6,14798,16034,30832,7517,92.3,17491,18499,35990,7933,94.6,1.5
EC,DC12,EC124,Amahlathi,4505.5,B3,62,48357,52678,101035,28276,91.8,56463,59240,115703,30076,95.3,1.3
EC,DC12,EC126,Ngqushwa,2112.5,B4,76.6,30282,34140,64422,17576,88.7,32614,35686,68300,17299,91.4,0.6
EC,DC12,EC129,Raymond Mhlaba,6357.3,B3,51.6,72810,78569,151379,39291,92.7,85924,92671,178594,44823,92.7,1.6
EC,DC13,EC131,Inxuba Yethemba,11663.5,B3,26,31671,33889,65560,15906,93.5,36323,41254,77578,18411,88,1.6
EC,DC13,EC135,Intsika Yethu,2846,B4,90.4,71315,79403,150718,51735,89.8,62202,65899,128101,34744,94.4,-1.6
EC,DC13,EC136,Emalahleni,3484.2,B4,77.4,57242,63516,120758,40766,90.1,62702,66171,128873,35069,94.8,0.6
EC,DC13,EC137,Engcobo,2483.9,B4,92.2,71953,83560,155513,56315,86.1,63403,69396,132799,40794,91.4,-1.5
EC,DC13,EC138,Sakhisizwe,2345.1,B3,74.7,30440,32714,63154,20694,93,31226,32755,63981,16808,95.3,0.1
EC,DC13,EC139,Enoch Mgijima,13584.1,B2,29.9,119230,131546,250776,74441,90.6,140782,156273,297055,78797,90.1,1.6
EC,DC14,EC141,Elundini,5018.8,B4,72,64962,72083,137045,48065,90.1,68768,72994,141762,39753,94.2,0.3
EC,DC14,EC142,Senqu,7329.4,B4,67,62804,71346,134150,45166,88,68342,78731,147073,42377,86.8,0.9
EC,DC14,EC145,Walter Sisulu,13268.9,B3,27.7,37156,40321,77477,21250,92.2,49461,54752,104213,26505,90.3,2.9
EC,DC15,EC153,Ngquza Hill,2476.8,B4,87.2,128974,149507,278481,107449,86.3,167830,186743,354573,122737,89.9,2.3
EC,DC15,EC154,Port St Johns,1291.2,B4,89.8,71482,84654,156136,63788,84.4,84382,94943,179325,59748,88.9,1.3
EC,DC15,EC155,Nyandeni,2474,B4,88.2,134241,156149,290390,117442,86,143295,161561,304856,99190,88.7,0.5
EC,DC15,EC156,Mhlontlo,2880.3,B4,85.9,88596,102149,190745,71622,86.7,88564,97827,186391,55642,90.5,-0.2
EC,DC15,EC157,King Sabata Dalindyebo,3018.9,B2,33.6,207315,242972,450287,160029,85.3,223728,252830,476558,141030,88.5,0.6
EC,DC44,EC441,Matatiele,4352.3,B3,74.2,93675,110168,203843,74310,85,105977,119585,225562,69647,88.6,1
EC,DC44,EC442,Umzimvubu,2578.9,B4,82.8,88013,103762,191775,69889,84.8,100626,113850,214477,65484,88.4,1.1
EC,DC44,EC443,Winnie Madikizela-Mandela,2415.5,B4,80.1,128332,153573,281905,115157,83.6,163889,186111,350000,124900,88.1,2.1
EC,DC44,EC444,Ntabankulu,1384.5,B4,88,56467,67354,123821,48759,83.8,68964,77459,146423,48732,89,1.6
